Origem - Cidade,Destino - Cidade,Latitude_Origem,Longitude_Origem,Latitude_Destino,Longitude_Destino,Distância (GCD)
"João Pessoa, Paraíba","Teresina, Piauí",-7.121598,-34.882028,-5.087461,-42.804957,904.670141
"Teresina, Piauí","João Pessoa, Paraíba",-5.087461,-42.804957,-7.121598,-34.882028,904.670141
"João Pessoa, Paraíba",Ribeirão Preto,-7.121598,-34.882028,-21.170392,-47.810275,2090.775892
Ribeirão Preto,"João Pessoa, Paraíba",-21.170392,-47.810275,-7.121598,-34.882028,2090.775892
"João Pessoa, Paraíba",Ouro Preto,-7.121598,-34.882028,-20.380046,-43.512414,1742.901758
Ouro Preto,"Belo Horizonte, Minas Gerais",-20.380046,-43.512414,-19.922732,-43.945095,68.013568
São João Del Rei,Ouro Preto,-21.133576,-44.258809,-20.380046,-43.512414,114.207965
"João Pessoa, Paraíba",Lisboa,-7.121598,-34.882028,38.722252,-9.139337,5748.746997
Lisboa,"João Pessoa, Paraíba",38.722252,-9.139337,-7.121598,-34.882028,5748.746997
"Brasília, Distrito Federal","Belo Horizonte, Minas Gerais",-15.793987,-47.8828,-19.922732,-43.945095,619.959043
Barreiras,"João Pessoa, Paraíba",-12.144302,-44.997202,-7.121598,-34.882028,1241.220306
"João Pessoa, Paraíba",Barreiras,-7.121598,-34.882028,-12.144302,-44.997202,1241.220306
"João Pessoa, Paraíba",Valencia,-7.121598,-34.882028,39.469908,-0.376288,6278.731643
Valencia,"João Pessoa, Paraíba",39.469908,-0.376288,-7.121598,-34.882028,6278.731643
"Recife, Pernambuco","Fortaleza, Ceará",-8.058493,-34.884819,-3.730451,-38.521799,627.178745
"Fortaleza, Ceará","Recife, Pernambuco",-3.730451,-38.521799,-8.058493,-34.884819,627.178745
"Porto Alegre, Rio Grande do Sul",Campina Grande,-30.0325,-51.230377,-7.222378,-35.873439,3000.552397
Foz do Iguaçu,Campina Grande,-25.54321,-54.583145,-7.222378,-35.873439,2843.965379
Campina Grande,Foz do Iguaçu,-7.222378,-35.873439,-25.54321,-54.583145,2843.965379
"Salvador, Bahia",Campina Grande,-12.98225,-38.481277,-7.222378,-35.873439,701.159516
Campina Grande,"Brasília, Distrito Federal",-7.222378,-35.873439,-15.793987,-47.8828,1617.668448
"São Paulo, São Paulo","Natal, Rio Grande do Norte",-23.550651,-46.633382,-5.805398,-35.20809,2321.398721
Guarulhos,Doha,-23.454237,-46.533745,25.285633,51.526416,11857.509044
Doha,Guarulhos,25.285633,51.526416,-23.454237,-46.533745,11857.509044
Pequim,Doha,40.190632,116.412144,25.285633,51.526416,6152.8169
Guarulhos,Guarulhos,-23.454237,-46.533745,-23.454237,-46.533745,0.0
Doha,Pequim,25.285633,51.526416,40.190632,116.412144,6152.8169
Doha,Doha,25.285633,51.526416,25.285633,51.526416,0.0
"Florianópolis, Santa Catarina",Campina Grande,-27.5973,-48.54961,-7.222378,-35.873439,2629.88881
Campinas,"Recife, Pernambuco",-22.905822,-47.06635,-8.058493,-34.884819,2101.762311
Roma,"Recife, Pernambuco",41.896707,12.482202,-8.058493,-34.884819,7347.095088
Rhodes,Atenas,48.758438,6.898518,37.975565,23.734832,1806.48879
Lisboa,Rhodes,38.722252,-9.139337,48.758438,6.898518,1698.321145
Atenas,Roma,37.975565,23.734832,41.896707,12.482202,1052.717171
"João Pessoa, Paraíba",Columbus - Ohio,-7.121598,-34.882028,39.961176,-82.998794,7188.799491
Columbus - Ohio,Nova York,39.961176,-82.998794,40.712728,-74.006015,766.438083
Nova York,"João Pessoa, Paraíba",40.712728,-74.006015,-7.121598,-34.882028,6652.307496
"Natal, Rio Grande do Norte",Londres,-5.805398,-35.20809,51.507446,-0.127765,7192.827686
Londres,"Natal, Rio Grande do Norte",51.507446,-0.127765,-5.805398,-35.20809,7192.827686
"Natal, Rio Grande do Norte","São Paulo, São Paulo",-5.805398,-35.20809,-23.550651,-46.633382,2321.398721
Campinas,Águas de Lindóia,-22.905822,-47.06635,-22.473781,-46.631837,65.535897
Águas de Lindóia,Campinas,-22.473781,-46.631837,-22.905822,-47.06635,65.535897
"Brasília, Distrito Federal","Rio de Janeiro, Rio de Janeiro",-15.793987,-47.8828,-22.911014,-43.209373,930.7164
Campinas,São Carlos,-22.905822,-47.06635,-22.017866,-47.886374,129.80434
"Manaus, Amazonas","Florianópolis, Santa Catarina",-3.200177,-59.498929,-27.5973,-48.54961,2951.488354
Campina Grande,"Florianópolis, Santa Catarina",-7.222378,-35.873439,-27.5973,-48.54961,2629.88881
"Porto Alegre, Rio Grande do Sul",Caxias do Sul,-30.0325,-51.230377,-29.163384,-51.179611,96.765839
"Florianópolis, Santa Catarina","Porto Alegre, Rio Grande do Sul",-27.5973,-48.54961,-30.0325,-51.230377,376.184435
"João Pessoa, Paraíba",Canoas,-7.121598,-34.882028,-29.913238,-51.186134,3053.438223
Canoas,"João Pessoa, Paraíba",-29.913238,-51.186134,-7.121598,-34.882028,3053.438223
"Florianópolis, Santa Catarina",Pelotas,-27.5973,-48.54961,-31.765377,-52.337528,590.408297
Pelotas,"Florianópolis, Santa Catarina",-31.765377,-52.337528,-27.5973,-48.54961,590.408297
"Florianópolis, Santa Catarina","Florianópolis, Santa Catarina",-27.5973,-48.54961,-27.5973,-48.54961,0.0
"Rio de Janeiro, Rio de Janeiro","Recife, Pernambuco",-22.911014,-43.209373,-8.058493,-34.884819,1875.550535
Paris,"Rio de Janeiro, Rio de Janeiro",48.857548,2.351376,-22.911014,-43.209373,9169.638254
Paris,Dublin,48.857548,2.351376,53.34938,-6.260559,780.751792
Edimburgo,Dublin,55.953346,-3.188375,53.34938,-6.260559,350.494211
Dublin,Edimburgo,53.34938,-6.260559,55.953346,-3.188375,350.494211
Dublin,Paris,53.34938,-6.260559,48.857548,2.351376,780.751792
"São Paulo, São Paulo",Paris,-23.550651,-46.633382,48.857548,2.351376,9401.943257
Foz do Iguaçu,"Recife, Pernambuco",-25.54321,-54.583145,-8.058493,-34.884819,2851.215635
"Recife, Pernambuco",Foz do Iguaçu,-8.058493,-34.884819,-25.54321,-54.583145,2851.215635
"Natal, Rio Grande do Norte","Florianópolis, Santa Catarina",-5.805398,-35.20809,-27.5973,-48.54961,2803.362943
"Florianópolis, Santa Catarina","Natal, Rio Grande do Norte",-27.5973,-48.54961,-5.805398,-35.20809,2803.362943
Navegantes,"João Pessoa, Paraíba",-26.894775,-48.655017,-7.121598,-34.882028,2636.411542
"João Pessoa, Paraíba",Navegantes,-7.121598,-34.882028,-26.894775,-48.655017,2636.411542
San Francisco - Califórnia,"São Paulo, São Paulo",37.779259,-122.419329,-23.550651,-46.633382,10433.892139
"São Paulo, São Paulo",San Francisco - Califórnia,-23.550651,-46.633382,37.779259,-122.419329,10433.892139
Phoenix,"São Paulo, São Paulo",33.448437,-112.074141,-23.550651,-46.633382,9384.230254
"São Paulo, São Paulo",Phoenix,-23.550651,-46.633382,33.448437,-112.074141,9384.230254
Roma,"São Paulo, São Paulo",41.896707,12.482202,-23.550651,-46.633382,9475.365044
"São Paulo, São Paulo",Roma,-23.550651,-46.633382,41.896707,12.482202,9475.365044
"João Pessoa, Paraíba",Uberaba,-7.121598,-34.882028,-19.747669,-47.93847,1988.749683
Uberaba,"João Pessoa, Paraíba",-19.747669,-47.93847,-7.121598,-34.882028,1988.749683
DENVER,Newark - New Jersey,39.739236,-104.984862,40.735657,-74.172367,2604.365702
"São Paulo, São Paulo",Edmonton,-23.550651,-46.633382,53.546206,-113.491241,10692.548144
Edmonton,DENVER,53.546206,-113.491241,39.739236,-104.984862,1664.146459
Newark - New Jersey,"São Paulo, São Paulo",40.735657,-74.172367,-23.550651,-46.633382,7694.245287
"São Paulo, São Paulo",Los Angeles,-23.550651,-46.633382,34.053691,-118.242766,9906.383776
Los Angeles,"São Paulo, São Paulo",34.053691,-118.242766,-23.550651,-46.633382,9906.383776
Calgary,Los Angeles,51.045606,-114.057541,34.053691,-118.242766,1919.465089
Los Angeles,Calgary,34.053691,-118.242766,51.045606,-114.057541,1919.465089
"São Paulo, São Paulo",Lima,-23.550651,-46.633382,-23.92396,-56.519794,1006.967498
Atlanta,"São Paulo, São Paulo",33.754466,-84.389815,-23.550651,-46.633382,7520.144028
Los Angeles,Atlanta,34.053691,-118.242766,33.754466,-84.389815,3109.949118
Lima,Los Angeles,-23.92396,-56.519794,34.053691,-118.242766,9166.08094
"Natal, Rio Grande do Norte","Belém, Pará",-5.805398,-35.20809,-1.45056,-48.468245,1548.78094
"Belém, Pará","Natal, Rio Grande do Norte",-1.45056,-48.468245,-5.805398,-35.20809,1548.78094
"Natal, Rio Grande do Norte","João Pessoa, Paraíba",-5.805398,-35.20809,-7.121598,-34.882028,150.723376
"João Pessoa, Paraíba","Natal, Rio Grande do Norte",-7.121598,-34.882028,-5.805398,-35.20809,150.723376
Ilhéus,"Florianópolis, Santa Catarina",-14.793504,-39.046346,-27.5973,-48.54961,1729.590313
"Florianópolis, Santa Catarina","Salvador, Bahia",-27.5973,-48.54961,-12.98225,-38.481277,1932.584841
"São Luís, Maranhão","São Luís, Maranhão",-2.529526,-44.296394,-2.529526,-44.296394,0.0
"Brasília, Distrito Federal","Goiânia, Goiás",-15.793987,-47.8828,-16.680882,-49.253269,176.441856
"Goiânia, Goiás",Areia,-16.680882,-49.253269,-6.965373,-35.702606,1826.410869
Areia,"Campo Grande, Mato Grosso do Sul",-6.965373,-35.702606,-20.464017,-54.616295,2530.292646
São José dos Campos,"João Pessoa, Paraíba",-23.190034,-45.884508,-7.121598,-34.882028,2139.010953
"João Pessoa, Paraíba",São José dos Campos,-7.121598,-34.882028,-23.190034,-45.884508,2139.010953
Campinas,Campina Grande,-22.905822,-47.06635,-7.222378,-35.873439,2115.258074
"Rio de Janeiro, Rio de Janeiro","São Paulo, São Paulo",-22.911014,-43.209373,-23.550651,-46.633382,357.009541
Campina Grande,"Rio de Janeiro, Rio de Janeiro",-7.222378,-35.873439,-22.911014,-43.209373,1912.829344
"São Paulo, São Paulo",Campinas,-23.550651,-46.633382,-22.905822,-47.06635,84.251938
"Cuiabá, Mato Grosso",Campina Grande,-15.598669,-56.09913,-7.222378,-35.873439,2390.768526
Caxias do Sul,"Recife, Pernambuco",-29.163384,-51.179611,-8.058493,-34.884819,2899.80447
"Recife, Pernambuco",Caxias do Sul,-8.058493,-34.884819,-29.163384,-51.179611,2899.80447
"Rio de Janeiro, Rio de Janeiro","Brasília, Distrito Federal",-22.911014,-43.209373,-15.793987,-47.8828,930.7164
"Goiânia, Goiás","Recife, Pernambuco",-16.680882,-49.253269,-8.058493,-34.884819,1829.993185
"Recife, Pernambuco","Goiânia, Goiás",-8.058493,-34.884819,-16.680882,-49.253269,1829.993185
"Recife, Pernambuco","Curitiba, Paraná",-8.058493,-34.884819,-25.494438,-49.284271,2466.732499
"Curitiba, Paraná","Recife, Pernambuco",-25.494438,-49.284271,-8.058493,-34.884819,2466.732499
Bento Gonçalves,"João Pessoa, Paraíba",-29.16669,-51.516928,-7.121598,-34.882028,3007.604016
