Identificador do processo de viagem,Distancia_Notebook,Emissoes_Notebook,Distancia_Baseline,Emissoes_Baseline,Distancia_Itinerario,Diferenca_Distancia,Diferenca_Emissoes,Abs_Dif_Distancia,Perc_Dif_Emissoes,Dif_Dist_Notebook_vs_Itinerario
000000000000019159709,5852.787,1171.1908,5834.0911,1066.8765,,18.6959,104.3143,18.6959,0.0978,
000000000000019161758,4372.2856,874.9303,4387.73,802.3814,,-15.4444,72.5489,15.4444,0.0904,
000000000000019161852,4372.2856,874.9303,4387.73,802.3814,,-15.4444,72.5489,15.4444,0.0904,
000000000000019161960,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019162088,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019162401,3922.0052,784.8255,3911.011,715.2041,,10.9942,69.6214,10.9942,0.0973,
000000000000019163841,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019164813,399.6455,108.9341,361.9597,98.6618,,37.6858,10.2723,37.6858,0.1041,
000000000000019165091,2837.4436,518.8815,2826.9311,516.9591,,10.5125,1.9224,10.5125,0.0037,
000000000000019165330,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019165342,3453.3416,631.5104,3429.6731,627.1821,,23.6686,4.3283,23.6686,0.0069,
000000000000019165790,5209.5924,1042.4822,5206.5206,952.1131,,3.0718,90.3691,3.0718,0.0949,
000000000000019166671,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019167013,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019167301,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019167695,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019168558,5138.4957,1028.2552,5146.5065,941.1383,,-8.0108,87.1169,8.0108,0.0926,
000000000000019171863,3948.7858,790.1845,3923.0016,717.3968,,25.7843,72.7877,25.7843,0.1015,
000000000000019174177,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019180265,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019181658,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019181725,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019185075,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
